what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1262129562841
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1262129562864
started,bundle,org.eclipse.egit.core,0.6.0.200912061443,"org.eclipse.egit.core",1262129562864
started,bundle,org.eclipse.egit.ui,0.6.0.200912061443,"org.eclipse.egit.ui",1262129562864
started,bundle,org.eclipse.jgit,0.6.0.200912061441,"org.eclipse.jgit",1262129562864
os,sysinfo,,,"linux",1262129562869
arch,sysinfo,,,"x86",1262129562869
ws,sysinfo,,,"gtk",1262129562869
locale,sysinfo,,,"en_US",1262129562869
processors,sysinfo,,,"1",1262129562869
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1262129562869
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1262129562869
java.specification.name,sysinfo,,,"Java Platform API Specification",1262129562869
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1262129562869
java.specification.version,sysinfo,,,"1.6",1262129562869
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1262129562869
java.version,sysinfo,,,"1.6.0_15",1262129562869
java.vm.info,sysinfo,,,"mixed mode, sharing",1262129562869
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1262129562869
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1262129562869
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1262129562869
java.vm.specification.version,sysinfo,,,"1.0",1262129562869
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1262129562869
java.vm.version,sysinfo,,,"14.1-b02",1262129562869
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1262129563152
